Dental_Type,Age_Band,Gender,LCG,Activity_Type,Percentage_of_Gross_Earnings_from_Health_Service_Dentistry,Practice_Size,Weekly_Working_Hours,Percentage_of_Dental_Time_Spent_on_Health_Service_Dentistry,Business_Arrangement,Range_of_Taxable_Income_£,Primary_Sample,Estimated_Population,Average_Gross_Earnings_£,Average_Expenses_£,Average_Taxable_Income_£,EER_%,Median_Taxable_Income_£,Q1_Taxable_Income_£,Q1_Taxable_Income_£,Count_of_Dentists,Per_Cent_of_Dentists,Cumulative_Per_Cent_of_Dentists,Total_Items_of_Service,Orthodontic_Items_of_Service,Total_Expenses_£,Office_and_General_Business_£,Premises_£,Employee_£,Car_and_Travel_£,Interest_£,Other_£,Net_Capital_Allowances£,Total_Expenses_%,Office_and_General_Business_%,Premises_%,Employee_%,Car_and_Travel_%,Interest_%,Other_%,Net_Capital_Allowances%
Associate,,,South_Eastern,,,,,,,,,100,82600,27500,55000,33.3,,,,,,,,,27500,5700,2000,100,600,0,18600,500,100,20.8,7.3,0.5,2.1,0.1,67.5,1.7
Associate,,,Southern,,,,,,,,,100,94000,37200,56800,39.6,,,,,,,,,37200,2400,7900,300,700,100,23900,1800,100,6.4,21.3,0.9,2,0.3,64.2,5
Associate,,,Western,,,,,,,,,50,118200,41000,77200,34.7,,,,,,,,,41000,5300,3000,4300,1000,0,26600,800,100,12.9,7.4,10.4,2.5,0.1,64.8,2
All,,,Belfast,,,,,,,,,250,233500,136400,97100,58.4,,,,,,,,,136400,11400,7700,40000,900,1800,69400,5200,100,8.4,5.6,29.3,0.7,1.3,50.9,3.8
All,,,Northern,,,,,,,,,200,190600,106400,84200,55.8,,,,,,,,,106400,8400,9100,32200,1400,1400,49200,4800,100,7.9,8.5,30.2,1.3,1.3,46.3,4.5
All,,,South_Eastern,,,,,,,,,100,147800,83200,64500,56.3,,,,,,,,,83200,6900,6600,23800,800,1200,39700,4300,100,8.3,7.9,28.6,0.9,1.4,47.7,5.2
All,,,Southern,,,,,,,,,200,166300,92400,74000,55.5,,,,,,,,,92400,5200,9400,18200,1200,800,52100,5600,100,5.6,10.2,19.7,1.3,0.8,56.4,6.1
All,,,Western,,,,,,,,,100,217700,108700,109100,49.9,,,,,,,,,108700,7400,6500,27100,1400,1700,61000,3600,100,6.8,6,24.9,1.3,1.6,56.2,3.3
Principal,,,,Orthodontic_Items>=30%,,,,,,,,<25,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Principal,,,,Orthodontic_Items<30%,,,,,,,,300,331900,217400,114500,65.5,,,,,,,,,217400,13000,14700,75100,1900,3300,99500,9900,100,6,6.8,34.6,0.9,1.5,45.8,4.6
Principal,,,,All,,,,,,,,350,339400,219100,120300,64.6,,,,,,,,,,,,,,,,,,,,,,,,
Associate,,,,Orthodontic_Items>=30%,,,,,,,,<25,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate,,,,Orthodontic_Items<30%,,,,,,,,500,88400,31300,57200,35.4,,,,,,,,,31300,5100,3500,200,600,100,20900,800,100,16.2,11.3,0.7,2.1,0.3,66.8,2.7
Associate,,,,All,,,,,,,,500,96400,34500,61900,35.8,,,,,,,,,,,,,,,,,,,,,,,,
All,,,,Orthodontic_Items>=30%,,,,,,,,50,-,-,-,-,,,,,,,2390,1155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
All,,,,Orthodontic_Items<30%,,,,,,,,800,182800,103400,79400,56.6,,,,,,,3593,7,103400,8100,7800,29300,1100,1400,51400,4300,100,7.9,7.6,28.3,1.1,1.3,49.7,4.2
All,,,,All,,,,,,,,850,191200,106500,84700,55.7,,,,,,,3532,65,,,,,,,,,,,,,,,,
Principal,,,,,<=25%,,,,,,,100,392500,255100,137400,65,,,,,,,,,255100,16400,14100,79000,1800,4500,127300,12000,100,6.4,5.5,31,0.7,1.8,49.9,4.7
Principal,,,,,>25<75%,,,,,,,100,421800,282400,139400,66.9,,,,,,,,,282400,13600,18600,100000,1800,3800,130600,14000,100,4.8,6.6,35.4,0.6,1.3,46.3,5
Principal,,,,,>=75%,,,,,,,100,194400,108800,85700,55.9,,,,,,,,,108800,8000,11300,34600,2000,1400,45500,6000,100,7.4,10.4,31.8,1.8,1.3,41.8,5.5
Associate,,,,,<=25%,,,,,,,100,115400,48700,66700,42.2,,,,,,,,,48700,13700,2800,100,900,200,30300,600,100,28.2,5.8,0.3,1.7,0.4,62.3,1.3
Associate,,,,,>25<75%,,,,,,,100,113300,47300,66000,41.8,,,,,,,,,47300,6500,6600,2400,800,200,29000,1800,100,13.7,13.9,5.1,1.7,0.5,61.4,3.8
Associate,,,,,>=75%,,,,,,,350,89000,28300,60800,31.8,,,,,,,,,28300,2700,2900,800,500,0,20700,600,100,9.4,10.3,3,1.9,0.2,73.1,2.1
All,,,,,<=25%,,,,,,,200,286400,176100,110300,61.5,,,,,,,,,176100,15400,9800,48800,1400,2900,90200,7600,100,8.7,5.5,27.7,0.8,1.6,51.2,4.3
All,,,,,>25<75%,,,,,,,250,273500,169400,104100,61.9,,,,,,,,,169400,10200,12800,53100,1300,2100,81800,8100,100,6,7.6,31.3,0.8,1.2,48.3,4.8
